adress,gu,dong,name,count,lat,long,years,sep_years
개포동 141,강남구,개포동,개포주공 1단지,337,37.478368,127.0614839,1982,30년이상
개포동 189,강남구,개포동,개포주공 4단지,188,37.4855371,127.0714351,1982,30년이상
개포동 187,강남구,개포동,개포주공 5단지,50,37.4875354,127.0686558,1983,30년이상
개포동 185,강남구,개포동,개포주공 6단지,131,37.4888326,127.071487,1983,30년이상
개포동 12,강남구,개포동,성원대치2단지아파트,204,37.4939654,127.0750977,1992,20~30년
개포동 656,강남구,개포동,시영,65,37.4785609,127.0542624,1984,30년이상
개포동 655-3,강남구,개포동,쌍용,1,37.4810335,127.0532554,1995,20~30년
개포동 1164-7,강남구,개포동,아람손프라자/비바빌,1,37.4727746,127.0523738,2001,10~20년
개포동 651-1,강남구,개포동,"우성9차아파트 901동, 902동",32,37.4848024,127.0571779,1991,20~30년
개포동 1260-11,강남구,개포동,우찬현대(1260-11),1,37.4793154,127.0489038,2006,10~20년
개포동 1164-28,강남구,개포동,포이벨리,3,37.4745812,127.0551887,2001,10~20년
논현동 196,강남구,논현동,거평프리젠,8,37.5062954,127.0276384,1996,20~30년
논현동 214-2,강남구,논현동,논현베르빌,6,37.5125829,127.032682,2002,10~20년
논현동 105,강남구,논현동,동현아파트 1~6,20,37.5193601,127.0366998,1985,30년이상
논현동 103,강남구,논현동,쌍용,12,37.5196689,127.0379979,1995,20~30년
논현동 105-4,강남구,논현동,한진로즈힐,7,37.5206817,127.037115,2004,10~20년
대치동 503,강남구,대치동,개포우성1,40,37.491182,127.05991,1983,30년이상
대치동 888,강남구,대치동,대치아이파크,71,37.495014,127.0545774,2008,10~20년
대치동 63,강남구,대치동,"대치우성아파트1동, 2동, 3동, 5동, 6동, 7동",7,37.5002033,127.0691228,1984,30년이상
대치동 907-2,강남구,대치동,대치한신휴플러스,9,37.5013596,127.0515885,2005,10~20년
대치동 670,강남구,대치동,동부센트레빌,71,37.4925092,127.0559479,2005,10~20년
대치동 985,강남구,대치동,래미안 대치 하이스턴,43,37.500937,127.0653883,1989,20~30년
대치동 1027,강남구,대치동,래미안대치팰리스,137,37.4994914,127.0610527,2015,10년미만
대치동 1025,강남구,대치동,롯데캐슬리베,14,37.4962859,127.053971,2008,10~20년
대치동 506,강남구,대치동,선경1차(1동-7동),67,37.4920987,127.0625605,1983,30년이상
대치동 890-49,강남구,대치동,선릉역대우아이빌(890-49),7,37.5044448,127.0515902,2004,10~20년
대치동 975-20,강남구,대치동,세영팔레스타운,3,37.5007327,127.062111,2002,10~20년
대치동 316,강남구,대치동,은마,325,37.4974576,127.0653265,1979,30년이상
대치동 891-6,강남구,대치동,테헤란로대우아이빌(891-6),11,37.5056037,127.0542018,2004,10~20년
대치동 902,강남구,대치동,포스코더샵,20,37.5040431,127.0572425,2004,10~20년
대치동 511,강남구,대치동,한보미도맨션1,92,37.4935161,127.0673376,1983,30년이상
대치동 933,강남구,대치동,한티(933-0),4,37.4989537,127.0570995,2004,10~20년
